"train_time","test_time","auc","participant"
0.08,-0.08,0.507219551282051,1
0.08,-0.08,0.488942307692308,2
0.08,-0.08,0.49484375,3
0.08,-0.08,0.55005608974359,4
0.08,-0.08,0.556862261669954,5
0.08,-0.08,0.434523237179487,6
0.08,-0.08,0.49370592948718,7
0.08,-0.08,0.49484375,8
0.08,-0.08,0.446474358974359,9
0.08,-0.08,0.52046875,10
0.1,-0.08,0.478569711538462,1
0.1,-0.08,0.534246794871795,2
0.1,-0.08,0.47859375,3
0.1,-0.08,0.4815625,4
0.1,-0.08,0.565927021696252,5
0.1,-0.08,0.492303685897436,6
0.1,-0.08,0.519959935897436,7
0.1,-0.08,0.475625,8
0.1,-0.08,0.45801282051282,9
0.1,-0.08,0.50046875,10
0.12,-0.08,0.450989583333333,1
0.12,-0.08,0.489479166666667,2
0.12,-0.08,0.50296875,3
0.12,-0.08,0.511378205128205,4
0.12,-0.08,0.537861604207758,5
0.12,-0.08,0.461722756410256,6
0.12,-0.08,0.478457532051282,7
0.12,-0.08,0.4946875,8
0.12,-0.08,0.466346153846154,9
0.12,-0.08,0.524375,10
0.14,-0.08,0.451927083333333,1
0.14,-0.08,0.499735576923077,2
0.14,-0.08,0.48828125,3
0.14,-0.08,0.500905448717949,4
0.14,-0.08,0.525497205785667,5
0.14,-0.08,0.485785256410256,6
0.14,-0.08,0.48369391025641,7
0.14,-0.08,0.53734375,8
0.14,-0.08,0.468269230769231,9
0.14,-0.08,0.53015625,10
0.16,-0.08,0.470452724358974,1
0.16,-0.08,0.480925480769231,2
0.16,-0.08,0.47890625,3
0.16,-0.08,0.490284455128205,4
0.16,-0.08,0.526832675871137,5
0.16,-0.08,0.44390625,6
0.16,-0.08,0.501702724358974,7
0.16,-0.08,0.50359375,8
0.16,-0.08,0.477403846153846,9
0.16,-0.08,0.47890625,10
0.18,-0.08,0.473950320512821,1
0.18,-0.08,0.471346153846154,2
0.18,-0.08,0.49234375,3
0.18,-0.08,0.470504807692308,4
0.18,-0.08,0.525731426692965,5
0.18,-0.08,0.450889423076923,6
0.18,-0.08,0.511121794871795,7
0.18,-0.08,0.5225,8
0.18,-0.08,0.484134615384615,9
0.18,-0.08,0.51703125,10
0.2,-0.08,0.48984375,1
0.2,-0.08,0.484463141025641,2
0.2,-0.08,0.49,3
0.2,-0.08,0.513954326923077,4
0.2,-0.08,0.541921433267587,5
0.2,-0.08,0.417291666666667,6
